timestamp,topico,valor,unidade
2026-05-17T01:09:39.053Z,transformador/vibracao/fft_120hz,0.11,g
2026-05-17T01:09:39.053Z,transformador/vibracao/fft_240hz,0.07,g
2026-05-17T01:09:40.554Z,transformador/nucleo/temperatura,51.18,°C
2026-05-17T01:09:40.554Z,transformador/nucleo/delta_t,11.05,°C
2026-05-17T01:09:40.554Z,transformador/primario/corrente,2.81,A
2026-05-17T01:09:40.554Z,transformador/secundario/corrente,25.52,A
2026-05-17T01:09:40.554Z,transformador/vibracao/fft_120hz,0.1,g
2026-05-17T01:09:40.554Z,transformador/vibracao/fft_240hz,0.02,g
2026-05-17T01:09:42.054Z,transformador/nucleo/temperatura,60.04,°C
2026-05-17T01:09:42.054Z,transformador/nucleo/delta_t,8.9,°C
2026-05-17T01:09:42.054Z,transformador/primario/corrente,3.02,A
2026-05-17T01:09:42.054Z,transformador/secundario/corrente,27.68,A
2026-05-17T01:09:42.054Z,transformador/vibracao/fft_120hz,0.05,g
2026-05-17T01:09:42.054Z,transformador/vibracao/fft_240hz,0.06,g
2026-05-17T01:09:43.555Z,transformador/nucleo/temperatura,55.08,°C
2026-05-17T01:09:43.555Z,transformador/nucleo/delta_t,7.83,°C
2026-05-17T01:09:43.555Z,transformador/primario/corrente,3.36,A
2026-05-17T01:09:43.555Z,transformador/secundario/corrente,23.93,A
2026-05-17T01:09:43.555Z,transformador/vibracao/fft_120hz,0.04,g
2026-05-17T01:09:43.555Z,transformador/vibracao/fft_240hz,0.06,g
2026-05-17T01:09:45.055Z,transformador/nucleo/temperatura,46.55,°C
2026-05-17T01:09:45.055Z,transformador/nucleo/delta_t,4.71,°C
2026-05-17T01:09:45.055Z,transformador/primario/corrente,3.28,A
2026-05-17T01:09:45.055Z,transformador/secundario/corrente,23.54,A
2026-05-17T01:09:45.055Z,transformador/vibracao/fft_120hz,0.06,g
2026-05-17T01:09:45.055Z,transformador/vibracao/fft_240hz,0.05,g
2026-05-17T01:09:46.556Z,transformador/nucleo/temperatura,57.84,°C
2026-05-17T01:09:46.556Z,transformador/nucleo/delta_t,19.36,°C
2026-05-17T01:09:46.556Z,transformador/primario/corrente,2.14,A
2026-05-17T01:09:46.556Z,transformador/secundario/corrente,17.42,A
2026-05-17T01:09:46.556Z,transformador/vibracao/fft_120hz,0.38,g
2026-05-17T01:09:46.556Z,transformador/vibracao/fft_240hz,0.04,g
2026-05-17T01:09:48.057Z,transformador/nucleo/temperatura,58.61,°C
2026-05-17T01:09:48.057Z,transformador/nucleo/delta_t,5.29,°C
2026-05-17T01:09:48.057Z,transformador/primario/corrente,2.05,A
2026-05-17T01:09:48.057Z,transformador/secundario/corrente,43.97,A
2026-05-17T01:09:48.057Z,transformador/vibracao/fft_120hz,0.11,g
2026-05-17T01:09:48.057Z,transformador/vibracao/fft_240hz,0.08,g
