timestamp,tipo,severidade,valor,limite
1778980729,transformador/vibracao/fft_120hz,aviso,0.34,0.2
1778980730,transformador/vibracao/fft_240hz,critico,0.29,0.25
1778980742,transformador/vibracao/fft_120hz,critico,0.52,0.45
1778980744,transformador/secundario/corrente,critico,45.51,45
1778980753,transformador/vibracao/fft_240hz,critico,0.29,0.25
1778980754,transformador/vibracao/fft_240hz,aviso,0.18,0.1
1778980762,transformador/vibracao/fft_240hz,aviso,0.2,0.1
1778980777,transformador/nucleo/temperatura,aviso,76.7,70
1778980777,transformador/vibracao/fft_120hz,aviso,0.4,0.2
1778980783,transformador/vibracao/fft_120hz,aviso,0.34,0.2
1778980784,transformador/nucleo/temperatura,aviso,73.51,70
1778980793,transformador/secundario/corrente,aviso,36.87,30
1778980795,transformador/secundario/corrente,critico,54.78,45
1778980798,transformador/secundario/corrente,aviso,32.27,30
1778980798,transformador/vibracao/fft_120hz,aviso,0.38,0.2
1778980799,transformador/nucleo/delta_t,aviso,22.03,15
1778980801,transformador/nucleo/delta_t,aviso,18.57,15
1778980802,transformador/vibracao/fft_240hz,critico,0.34,0.25
1778980804,transformador/nucleo/temperatura,aviso,78.15,70
1778980808,transformador/primario/corrente,aviso,5.03,4
1778980819,transformador/vibracao/fft_120hz,critico,0.51,0.45
1778980830,transformador/vibracao/fft_120hz,critico,0.49,0.45
1778980831,transformador/vibracao/fft_120hz,aviso,0.42,0.2
1778980834,transformador/secundario/corrente,aviso,31.6,30
1778981100,transformador/secundario/corrente,aviso,40.26,30
1778981103,transformador/nucleo/delta_t,critico,30.75,25
1778981106,transformador/vibracao/fft_240hz,critico,0.25,0.25
1778981109,transformador/nucleo/temperatura,aviso,77.02,70
1778981117,transformador/secundario/corrente,aviso,39.11,30
1778981119,transformador/nucleo/delta_t,critico,25.84,25
1778981120,transformador/vibracao/fft_120hz,critico,0.51,0.45
1778981130,transformador/nucleo/temperatura,aviso,80.72,70
1778981130,transformador/vibracao/fft_120hz,critico,0.63,0.45
1778981138,transformador/primario/corrente,aviso,5.22,4
1778981148,transformador/vibracao/fft_120hz,aviso,0.41,0.2
1778981160,transformador/vibracao/fft_120hz,aviso,0.32,0.2
1778981161,transformador/vibracao/fft_240hz,aviso,0.23,0.1
1778981165,transformador/vibracao/fft_240hz,aviso,0.2,0.1
1778981168,transformador/secundario/corrente,critico,52.35,45
1778981169,transformador/nucleo/delta_t,critico,25.64,25
1778981171,transformador/nucleo/delta_t,aviso,15.65,15
1778981173,transformador/primario/corrente,aviso,4.96,4
1778981175,transformador/vibracao/fft_240hz,aviso,0.17,0.1
1778981176,transformador/primario/corrente,critico,6.08,6
1778981187,transformador/primario/corrente,aviso,5.96,4
1778981193,transformador/vibracao/fft_120hz,critico,0.7,0.45
1778981196,transformador/vibracao/fft_240hz,aviso,0.18,0.1
1778981205,transformador/primario/corrente,critico,6.41,6
1778981206,transformador/vibracao/fft_120hz,aviso,0.35,0.2
1778981209,transformador/nucleo/temperatura,aviso,77.21,70
1778981211,transformador/secundario/corrente,critico,50.23,45
1778981218,transformador/secundario/corrente,aviso,31.18,30
1778981226,transformador/secundario/corrente,aviso,37.37,30
1778981228,transformador/nucleo/temperatura,aviso,74.55,70
1778981229,transformador/primario/corrente,critico,6.16,6
1778981239,transformador/vibracao/fft_240hz,critico,0.25,0.25
1778981241,transformador/nucleo/delta_t,aviso,19.84,15
1778981245,transformador/vibracao/fft_240hz,critico,0.32,0.25
1778981246,transformador/nucleo/temperatura,critico,86.38,85
1778981254,transformador/vibracao/fft_240hz,critico,0.33,0.25
1778981256,transformador/nucleo/delta_t,aviso,19.83,15
1778981256,transformador/primario/corrente,aviso,5.74,4
1778981259,transformador/primario/corrente,critico,7.35,6
1778981260,transformador/vibracao/fft_120hz,aviso,0.37,0.2
1778981260,transformador/vibracao/fft_240hz,aviso,0.18,0.1
1778981266,transformador/nucleo/temperatura,critico,93.98,85
1778981274,transformador/secundario/corrente,critico,51.18,45
1778981274,transformador/vibracao/fft_240hz,critico,0.25,0.25
1778981282,transformador/vibracao/fft_240hz,aviso,0.15,0.1
1778981290,transformador/nucleo/temperatura,aviso,75.12,70
1778981292,transformador/nucleo/delta_t,aviso,18.79,15
1778981293,transformador/primario/corrente,critico,6.85,6
1778981297,transformador/nucleo/temperatura,critico,85.52,85
1778981302,transformador/vibracao/fft_120hz,critico,0.66,0.45
1778981304,transformador/vibracao/fft_120hz,aviso,0.34,0.2
1778981305,transformador/secundario/corrente,critico,48.57,45
1778981307,transformador/primario/corrente,critico,6.16,6
1778981314,transformador/nucleo/temperatura,aviso,84.99,70
1778981315,transformador/nucleo/temperatura,critico,87.54,85
1778981317,transformador/secundario/corrente,aviso,32.84,30
1778981319,transformador/primario/corrente,aviso,5.51,4
1778981319,transformador/vibracao/fft_120hz,aviso,0.32,0.2
1778981322,transformador/vibracao/fft_120hz,critico,0.57,0.45
1778981337,transformador/primario/corrente,aviso,4.6,4
1778981338,transformador/nucleo/temperatura,aviso,72.43,70
1778981338,transformador/vibracao/fft_240hz,aviso,0.17,0.1
1778981342,transformador/primario/corrente,critico,6.82,6
1778981343,transformador/vibracao/fft_120hz,aviso,0.37,0.2
1778981344,transformador/nucleo/delta_t,critico,25.64,25
1778981344,transformador/primario/corrente,critico,6.39,6
1778981344,transformador/vibracao/fft_120hz,critico,0.47,0.45
1778981345,transformador/nucleo/temperatura,aviso,78.33,70
1778981345,transformador/vibracao/fft_240hz,aviso,0.15,0.1
1778981348,transformador/primario/corrente,critico,6.97,6
1778981349,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778981350,transformador/vibracao/fft_240hz,critico,0.26,0.25
1778981351,transformador/vibracao/fft_120hz,critico,0.49,0.45
1778981352,transformador/vibracao/fft_240hz,aviso,0.17,0.1
1778981354,transformador/secundario/corrente,critico,52.32,45
1778981356,transformador/primario/corrente,critico,6.63,6
1778981360,transformador/nucleo/temperatura,aviso,77.58,70
1778981363,transformador/vibracao/fft_240hz,critico,0.3,0.25
1778981366,transformador/nucleo/delta_t,aviso,18.85,15
1778981366,transformador/vibracao/fft_120hz,critico,0.48,0.45
1778981369,transformador/primario/corrente,aviso,5.76,4
1778981377,transformador/nucleo/delta_t,aviso,15.4,15
1778981383,transformador/secundario/corrente,aviso,41.35,30
1778981383,transformador/vibracao/fft_240hz,aviso,0.21,0.1
1778981386,transformador/secundario/corrente,aviso,43.43,30
1778981387,transformador/vibracao/fft_120hz,critico,0.51,0.45
1778981392,transformador/vibracao/fft_240hz,aviso,0.13,0.1
1778981397,transformador/vibracao/fft_120hz,aviso,0.44,0.2
1778981398,transformador/nucleo/temperatura,aviso,81.78,70
1778981412,transformador/vibracao/fft_120hz,critico,0.52,0.45
1778981413,transformador/vibracao/fft_120hz,critico,0.48,0.45
1778981420,transformador/vibracao/fft_120hz,critico,0.6,0.45
1778981422,transformador/secundario/corrente,critico,45.43,45
1778981429,transformador/nucleo/temperatura,aviso,71.48,70
1778981430,transformador/vibracao/fft_240hz,aviso,0.24,0.1
1778981431,transformador/vibracao/fft_120hz,aviso,0.36,0.2
1778981432,transformador/nucleo/delta_t,aviso,15.64,15
1778981435,transformador/secundario/corrente,aviso,43.6,30
1778981437,transformador/vibracao/fft_240hz,aviso,0.21,0.1
1778981439,transformador/nucleo/temperatura,aviso,78.49,70
1778981441,transformador/primario/corrente,aviso,5.14,4
1778981450,transformador/primario/corrente,aviso,5.25,4
1778981454,transformador/secundario/corrente,aviso,44.83,30
1778981456,transformador/primario/corrente,aviso,5.99,4
1778981461,transformador/primario/corrente,aviso,4.56,4
1778981466,transformador/nucleo/delta_t,aviso,19.09,15
1778981472,transformador/vibracao/fft_240hz,aviso,0.21,0.1
1778981474,transformador/secundario/corrente,aviso,43.75,30
1778981477,transformador/primario/corrente,critico,7.84,6
1778981480,transformador/nucleo/temperatura,aviso,75,70
1778981480,transformador/secundario/corrente,critico,51.4,45
1778981487,transformador/primario/corrente,aviso,5,4
1778981491,transformador/primario/corrente,critico,6.17,6
1778981493,transformador/vibracao/fft_120hz,critico,0.55,0.45
1778981497,transformador/vibracao/fft_240hz,critico,0.31,0.25
1778981502,transformador/primario/corrente,aviso,4.22,4
1778981504,transformador/nucleo/temperatura,aviso,72.39,70
1778981508,transformador/nucleo/delta_t,aviso,18.87,15
1778981511,transformador/secundario/corrente,critico,50.11,45
1778981518,transformador/vibracao/fft_240hz,aviso,0.23,0.1
1778981520,transformador/vibracao/fft_120hz,aviso,0.38,0.2
1778981528,transformador/vibracao/fft_120hz,critico,0.57,0.45
1778981543,transformador/primario/corrente,critico,6.67,6
1778981544,transformador/secundario/corrente,aviso,43.63,30
1778981547,transformador/vibracao/fft_120hz,critico,0.61,0.45
1778981550,transformador/nucleo/delta_t,critico,25.96,25
1778981572,transformador/primario/corrente,aviso,5.44,4
1778981572,transformador/vibracao/fft_120hz,critico,0.57,0.45
1778981573,transformador/secundario/corrente,aviso,36.82,30
1778981574,transformador/nucleo/temperatura,aviso,70.07,70
1778981576,transformador/vibracao/fft_120hz,aviso,0.25,0.2
1778981578,transformador/nucleo/temperatura,aviso,71.86,70
1778981591,transformador/vibracao/fft_120hz,aviso,0.4,0.2
1778981592,transformador/vibracao/fft_120hz,aviso,0.32,0.2
1778981595,transformador/nucleo/temperatura,aviso,75.43,70
1778981596,transformador/nucleo/delta_t,aviso,21.32,15
1778981597,transformador/nucleo/delta_t,aviso,19.4,15
1778981603,transformador/vibracao/fft_240hz,critico,0.27,0.25
1778981607,transformador/primario/corrente,critico,6,6
1778981610,transformador/nucleo/temperatura,critico,89.82,85
1778981614,transformador/nucleo/temperatura,aviso,76.04,70
1778981618,transformador/secundario/corrente,aviso,33.43,30
1778981624,transformador/vibracao/fft_240hz,critico,0.25,0.25
1778981627,transformador/primario/corrente,aviso,5.17,4
1778981628,transformador/primario/corrente,aviso,5.81,4
1778981633,transformador/vibracao/fft_120hz,critico,0.69,0.45
1778981636,transformador/primario/corrente,aviso,4.48,4
1778981637,transformador/secundario/corrente,critico,45.86,45
1778981637,transformador/vibracao/fft_120hz,aviso,0.38,0.2
1778981639,transformador/secundario/corrente,critico,48.59,45
1778981642,transformador/nucleo/delta_t,aviso,20.18,15
1778981647,transformador/vibracao/fft_120hz,critico,0.49,0.45
1778981649,transformador/primario/corrente,critico,6.42,6
1778981651,transformador/vibracao/fft_240hz,critico,0.26,0.25
1778981655,transformador/primario/corrente,aviso,5.41,4
1778981661,transformador/secundario/corrente,critico,47.92,45
1778981663,transformador/nucleo/temperatura,aviso,74.41,70
1778981664,transformador/vibracao/fft_120hz,aviso,0.37,0.2
1778981668,transformador/vibracao/fft_120hz,critico,0.57,0.45
1778981672,transformador/vibracao/fft_120hz,critico,0.59,0.45
1778981678,transformador/nucleo/temperatura,aviso,75.39,70
1778981682,transformador/vibracao/fft_240hz,critico,0.31,0.25
1778981695,transformador/secundario/corrente,aviso,30.53,30
1778981696,transformador/primario/corrente,aviso,5.23,4
1778981698,transformador/secundario/corrente,critico,48.25,45
1778981707,transformador/vibracao/fft_240hz,aviso,0.24,0.1
1778981709,transformador/vibracao/fft_120hz,aviso,0.27,0.2
1778981718,transformador/primario/corrente,critico,7.07,6
1778981719,transformador/secundario/corrente,aviso,35.5,30
1778981724,transformador/secundario/corrente,critico,49.12,45
1778981725,transformador/secundario/corrente,critico,45.18,45
1778981727,transformador/nucleo/temperatura,aviso,78.93,70
1778981731,transformador/secundario/corrente,aviso,44.46,30
1778981733,transformador/nucleo/temperatura,critico,92.93,85
1778981740,transformador/vibracao/fft_120hz,critico,0.49,0.45
1778981741,transformador/nucleo/temperatura,aviso,71.6,70
1778981744,transformador/nucleo/temperatura,aviso,77.91,70
1778981744,transformador/primario/corrente,critico,7.3,6
1778981746,transformador/primario/corrente,critico,6.51,6
1778981751,transformador/primario/corrente,aviso,5.68,4
1778981752,transformador/vibracao/fft_240hz,critico,0.32,0.25
1778981753,transformador/secundario/corrente,aviso,37.19,30
1778981757,transformador/vibracao/fft_240hz,critico,0.3,0.25
1778981759,transformador/vibracao/fft_240hz,critico,0.28,0.25
1778981760,transformador/vibracao/fft_120hz,critico,0.49,0.45
1778981761,transformador/vibracao/fft_120hz,critico,0.64,0.45
1778981767,transformador/vibracao/fft_120hz,critico,0.5,0.45
1778981776,transformador/nucleo/temperatura,aviso,74.61,70
1778981776,transformador/vibracao/fft_120hz,aviso,0.39,0.2
1778981782,transformador/vibracao/fft_240hz,aviso,0.21,0.1
1778981789,transformador/secundario/corrente,critico,45.26,45
1778981792,transformador/vibracao/fft_240hz,critico,0.28,0.25
1778981798,transformador/nucleo/delta_t,aviso,21.24,15
1778981800,transformador/vibracao/fft_120hz,critico,0.63,0.45
1778981801,transformador/nucleo/temperatura,aviso,74.15,70
1778981801,transformador/vibracao/fft_120hz,critico,0.62,0.45
1778981803,transformador/vibracao/fft_240hz,aviso,0.14,0.1
1778981804,transformador/nucleo/delta_t,aviso,19.04,15
1778981809,transformador/secundario/corrente,aviso,39.04,30
1778981811,transformador/primario/corrente,aviso,4.38,4
1778981813,transformador/primario/corrente,aviso,5.92,4
1778981826,transformador/primario/corrente,aviso,5.36,4
1778981828,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778981830,transformador/secundario/corrente,aviso,34.54,30
1778981835,transformador/vibracao/fft_120hz,aviso,0.37,0.2
1778981843,transformador/nucleo/delta_t,aviso,16.94,15
1778981844,transformador/vibracao/fft_240hz,critico,0.25,0.25
1778981849,transformador/vibracao/fft_240hz,critico,0.29,0.25
1778981851,transformador/nucleo/temperatura,aviso,83.83,70
1778981853,transformador/primario/corrente,critico,6.44,6
1778981855,transformador/primario/corrente,aviso,4.69,4
1778981861,transformador/vibracao/fft_120hz,aviso,0.42,0.2
1778981864,transformador/nucleo/temperatura,critico,88.97,85
1778981871,transformador/vibracao/fft_120hz,critico,0.68,0.45
1778981873,transformador/vibracao/fft_120hz,critico,0.58,0.45
1778981887,transformador/primario/corrente,critico,6.63,6
1778981888,transformador/vibracao/fft_120hz,aviso,0.39,0.2
1778981890,transformador/primario/corrente,aviso,5.55,4
1778981898,transformador/vibracao/fft_120hz,critico,0.52,0.45
1778981899,transformador/primario/corrente,critico,6.18,6
1778981904,transformador/vibracao/fft_120hz,critico,0.45,0.45
1778981908,transformador/primario/corrente,critico,6.31,6
1778981914,transformador/vibracao/fft_240hz,critico,0.29,0.25
1778981920,transformador/primario/corrente,aviso,4.02,4
1778981920,transformador/vibracao/fft_240hz,critico,0.29,0.25
1778981921,transformador/nucleo/delta_t,critico,29.4,25
1778981925,transformador/vibracao/fft_120hz,critico,0.45,0.45
1778981925,transformador/vibracao/fft_240hz,aviso,0.22,0.1
1778981938,transformador/vibracao/fft_120hz,aviso,0.43,0.2
1778981941,transformador/primario/corrente,aviso,4.56,4
1778981943,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778981950,transformador/secundario/corrente,critico,49.68,45
1778981951,transformador/vibracao/fft_240hz,aviso,0.18,0.1
1778981953,transformador/vibracao/fft_120hz,critico,0.69,0.45
1778981955,transformador/vibracao/fft_240hz,aviso,0.16,0.1
1778981962,transformador/secundario/corrente,aviso,39.56,30
1778981967,transformador/vibracao/fft_240hz,aviso,0.21,0.1
1778981968,transformador/nucleo/temperatura,aviso,82.29,70
1778981968,transformador/nucleo/delta_t,aviso,22.58,15
1778981971,transformador/primario/corrente,aviso,5.29,4
1778981976,transformador/nucleo/temperatura,aviso,77.53,70
1778981985,transformador/vibracao/fft_120hz,critico,0.54,0.45
1778981988,transformador/vibracao/fft_240hz,critico,0.27,0.25
1778981990,transformador/nucleo/temperatura,critico,91.1,85
1778981992,transformador/nucleo/temperatura,aviso,72.19,70
1778981993,transformador/vibracao/fft_240hz,aviso,0.2,0.1
1778981996,transformador/vibracao/fft_240hz,aviso,0.14,0.1
1778982002,transformador/vibracao/fft_240hz,aviso,0.2,0.1
1778982010,transformador/vibracao/fft_240hz,critico,0.27,0.25
1778982015,transformador/vibracao/fft_240hz,critico,0.31,0.25
1778982021,transformador/vibracao/fft_120hz,aviso,0.33,0.2
1778982023,transformador/primario/corrente,aviso,5.85,4
1778982025,transformador/vibracao/fft_120hz,critico,0.61,0.45
1778982032,transformador/primario/corrente,critico,7.64,6
1778982037,transformador/nucleo/temperatura,aviso,74.87,70
1778982040,transformador/secundario/corrente,aviso,40.23,30
1778982044,transformador/nucleo/temperatura,aviso,74.55,70
1778982044,transformador/vibracao/fft_120hz,critico,0.53,0.45
1778982052,transformador/nucleo/temperatura,aviso,72.47,70
1778982052,transformador/vibracao/fft_120hz,critico,0.55,0.45
1778982059,transformador/primario/corrente,aviso,5.54,4
1778982061,transformador/primario/corrente,aviso,4.77,4
1778982063,transformador/secundario/corrente,aviso,33.8,30
1778982064,transformador/vibracao/fft_240hz,critico,0.27,0.25
1778982066,transformador/secundario/corrente,aviso,33.4,30
1778982073,transformador/vibracao/fft_240hz,critico,0.28,0.25
1778982084,transformador/nucleo/delta_t,aviso,19.13,15
1778982084,transformador/secundario/corrente,aviso,37.73,30
1778982091,transformador/secundario/corrente,critico,52.6,45
1778982094,transformador/primario/corrente,aviso,4.7,4
1778982095,transformador/vibracao/fft_240hz,aviso,0.13,0.1
1778982099,transformador/nucleo/temperatura,critico,88.38,85
1778982099,transformador/vibracao/fft_120hz,aviso,0.43,0.2
1778982101,transformador/vibracao/fft_240hz,critico,0.28,0.25
1778982122,transformador/nucleo/delta_t,critico,29.74,25
1778982126,transformador/secundario/corrente,aviso,35.83,30
1778982138,transformador/nucleo/temperatura,aviso,77.07,70
1778982146,transformador/vibracao/fft_120hz,critico,0.6,0.45
1778982150,transformador/vibracao/fft_240hz,aviso,0.21,0.1
1778982159,transformador/nucleo/delta_t,aviso,21.73,15
1778982164,transformador/primario/corrente,aviso,5.64,4
1778982165,transformador/secundario/corrente,aviso,41.86,30
1778982166,transformador/secundario/corrente,critico,49.94,45
1778982166,transformador/vibracao/fft_120hz,critico,0.61,0.45
1778982171,transformador/secundario/corrente,aviso,41.68,30
1778982181,transformador/vibracao/fft_120hz,critico,0.51,0.45
1778982184,transformador/nucleo/temperatura,aviso,75.83,70
1778982185,transformador/vibracao/fft_120hz,critico,0.65,0.45
1778982186,transformador/primario/corrente,aviso,4.48,4
1778982194,transformador/secundario/corrente,critico,45.4,45
1778982198,transformador/secundario/corrente,aviso,31.75,30
1778982199,transformador/nucleo/temperatura,aviso,82.17,70
1778982199,transformador/secundario/corrente,aviso,40.6,30
1778982207,transformador/vibracao/fft_120hz,critico,0.52,0.45
1778982215,transformador/secundario/corrente,aviso,38.49,30
1778982223,transformador/vibracao/fft_240hz,aviso,0.13,0.1
1778982227,transformador/nucleo/delta_t,critico,28.69,25
1778982227,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778982234,transformador/vibracao/fft_240hz,aviso,0.17,0.1
1778982235,transformador/vibracao/fft_120hz,aviso,0.36,0.2
1778982240,transformador/nucleo/temperatura,aviso,81.72,70
1778982246,transformador/vibracao/fft_120hz,aviso,0.33,0.2
1778982248,transformador/nucleo/delta_t,aviso,16.45,15
1778982250,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778982253,transformador/vibracao/fft_120hz,aviso,0.32,0.2
1778982254,transformador/vibracao/fft_120hz,critico,0.52,0.45
1778982267,transformador/vibracao/fft_120hz,critico,0.53,0.45
1778982269,transformador/vibracao/fft_120hz,critico,0.53,0.45
1778982275,transformador/nucleo/temperatura,aviso,70.62,70
1778982276,transformador/vibracao/fft_240hz,aviso,0.22,0.1
1778982278,transformador/vibracao/fft_120hz,critico,0.63,0.45
1778982284,transformador/vibracao/fft_120hz,aviso,0.36,0.2
1778982285,transformador/vibracao/fft_120hz,aviso,0.36,0.2
1778982293,transformador/vibracao/fft_120hz,critico,0.55,0.45
1778982297,transformador/vibracao/fft_240hz,aviso,0.23,0.1
1778982300,transformador/nucleo/temperatura,aviso,82.67,70
1778982306,transformador/primario/corrente,critico,6.7,6
1778982308,transformador/secundario/corrente,critico,51.11,45
1778982311,transformador/primario/corrente,aviso,5.26,4
1778982316,transformador/vibracao/fft_120hz,aviso,0.44,0.2
1778982318,transformador/nucleo/temperatura,aviso,79.94,70
1778982322,transformador/vibracao/fft_240hz,aviso,0.15,0.1
1778982326,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778982335,transformador/secundario/corrente,aviso,41.62,30
1778982342,transformador/nucleo/temperatura,aviso,73.47,70
1778982344,transformador/primario/corrente,aviso,4.64,4
1778982344,transformador/vibracao/fft_240hz,aviso,0.18,0.1
1778982358,transformador/vibracao/fft_240hz,critico,0.33,0.25
1778982360,transformador/vibracao/fft_120hz,critico,0.45,0.45
1778982364,transformador/nucleo/temperatura,aviso,70.85,70
1778982364,transformador/secundario/corrente,aviso,38.69,30
1778982365,transformador/vibracao/fft_120hz,critico,0.51,0.45
1778982368,transformador/vibracao/fft_240hz,critico,0.33,0.25
1778982370,transformador/vibracao/fft_240hz,aviso,0.14,0.1
1778982375,transformador/vibracao/fft_120hz,critico,0.45,0.45
1778982379,transformador/vibracao/fft_240hz,aviso,0.14,0.1
1778982386,transformador/secundario/corrente,aviso,37.45,30
1778982388,transformador/vibracao/fft_240hz,critico,0.31,0.25
1778982390,transformador/nucleo/delta_t,aviso,24.96,15
1778982393,transformador/secundario/corrente,aviso,41.23,30
1778982395,transformador/vibracao/fft_240hz,aviso,0.13,0.1
1778982422,transformador/secundario/corrente,critico,50.93,45
1778982423,transformador/secundario/corrente,aviso,39.11,30
1778982431,transformador/secundario/corrente,aviso,43.69,30
1778982434,transformador/vibracao/fft_120hz,aviso,0.42,0.2
1778982440,transformador/vibracao/fft_120hz,critico,0.61,0.45
1778982443,transformador/secundario/corrente,aviso,43.89,30
1778982445,transformador/primario/corrente,aviso,4.28,4
1778982456,transformador/primario/corrente,aviso,5.92,4
1778982470,transformador/vibracao/fft_240hz,aviso,0.2,0.1
1778982471,transformador/vibracao/fft_120hz,aviso,0.35,0.2
1778982472,transformador/nucleo/delta_t,aviso,16.46,15
1778982485,transformador/nucleo/temperatura,aviso,78.32,70
1778982488,transformador/vibracao/fft_120hz,critico,0.46,0.45
1778982503,transformador/nucleo/delta_t,critico,29.59,25
1778982504,transformador/primario/corrente,critico,6.8,6
1778982508,transformador/secundario/corrente,critico,47.24,45
